Campaign_ID,Channel,Campaign_Type,Region,Age_Group,Impressions,Clicks,Spend,Conversions,Revenue,ROI,CTR,CPC,Conversion_Rate,Cost_Per_Conversion
CAMP-0058,Influencer,Seasonal Sale,East,25-34,18527,826,42772.49,34,16022.75,-62.54,4.46,51.78,4.12,1258.01
CAMP-0059,Google Ads,Lead Generation,South,45-54,6832,483,25526.8,109,28963.08,13.46,7.07,52.85,22.57,234.19
CAMP-0060,Influencer,Retargeting,North,25-34,49338,4388,310796.21,172,74431.31,-76.05,8.89,70.83,3.92,1806.95
CAMP-0061,SMS,Brand Awareness,East,18-24,24169,2065,13297.3,225,94821.7,613.09,8.54,6.44,10.9,59.1
CAMP-0062,Google Ads,Seasonal Sale,South,25-34,23198,1360,56351.18,345,138545.9,145.86,5.86,41.43,25.37,163.34
CAMP-0063,Google Ads,Seasonal Sale,North,25-34,2686,110,5617.06,10,4995.97,-11.06,4.1,51.06,9.09,561.71
CAMP-0064,SMS,Brand Awareness,North,45-54,32681,651,6035.1,35,5543.04,-8.15,1.99,9.27,5.38,172.43
CAMP-0065,Google Ads,Seasonal Sale,North,55+,40513,4463,213388.72,366,19194.29,-91.01,11.02,47.81,8.2,583.03
CAMP-0066,Email,Seasonal Sale,North,18-24,30493,2993,13399.98,576,43634.52,225.63,9.82,4.48,19.24,23.26
CAMP-0067,Influencer,Seasonal Sale,West,55+,6451,559,38074.34,18,2534.44,-93.34,8.67,68.11,3.22,2115.24
CAMP-0068,Influencer,Retargeting,North,18-24,25474,2342,147827.71,225,26965.32,-81.76,9.19,63.12,9.61,657.01
CAMP-0069,SMS,Brand Awareness,East,18-24,1279,112,1068.11,14,1043.35,-2.32,8.76,9.54,12.5,76.29
CAMP-0070,Social Media,Brand Awareness,North,45-54,2596,278,7532.63,16,1460.39,-80.61,10.71,27.1,5.76,470.79
CAMP-0071,Influencer,Seasonal Sale,North,25-34,29802,2868,181469.26,214,24676.04,-86.4,9.62,63.27,7.46,847.99
CAMP-0072,Google Ads,Retargeting,North,55+,15416,1134,55107.83,228,107904.99,95.81,7.36,48.6,20.11,241.7
CAMP-0073,Email,Retargeting,North,35-44,34698,2156,9138.07,174,30473.32,233.48,6.21,4.24,8.07,52.52
CAMP-0074,Google Ads,Retargeting,North,25-34,21681,1673,79339.22,259,60593.67,-23.63,7.72,47.42,15.48,306.33
CAMP-0075,SMS,Retargeting,North,55+,30277,422,3265.81,47,7121.29,118.06,1.39,7.74,11.14,69.49
CAMP-0076,Social Media,Lead Generation,North,35-44,28505,2486,65828.0,268,51535.43,-21.71,8.72,26.48,10.78,245.63
CAMP-0077,Social Media,Retargeting,West,25-34,10250,808,19074.11,75,28613.82,50.01,7.88,23.61,9.28,254.32
CAMP-0078,Google Ads,Brand Awareness,East,55+,46092,3014,136729.97,696,133285.96,-2.52,6.54,45.36,23.09,196.45
CAMP-0079,Google Ads,Lead Generation,West,25-34,2562,45,2302.01,3,528.83,-77.03,1.76,51.16,6.67,767.34
CAMP-0080,Email,Lead Generation,East,25-34,9063,403,2210.61,25,10555.7,377.5,4.45,5.49,6.2,88.42
CAMP-0081,Influencer,Lead Generation,West,35-44,35604,2709,137812.63,158,76044.31,-44.82,7.61,50.87,5.83,872.23
CAMP-0082,Email,Lead Generation,North,55+,38719,1711,9197.19,290,65113.34,607.97,4.42,5.38,16.95,31.71
CAMP-0083,SMS,Brand Awareness,East,25-34,33910,2297,15904.44,164,69919.26,339.62,6.77,6.92,7.14,96.98
CAMP-0084,Social Media,Seasonal Sale,West,55+,28020,2866,85702.62,156,39266.84,-54.18,10.23,29.9,5.44,549.38
CAMP-0085,SMS,Brand Awareness,South,25-34,41855,2415,19082.96,168,22078.05,15.7,5.77,7.9,6.96,113.59
CAMP-0086,Influencer,Seasonal Sale,North,55+,2710,96,5280.9,6,1883.4,-64.34,3.54,55.01,6.25,880.15
CAMP-0087,Influencer,Brand Awareness,South,18-24,13809,1419,89825.72,114,40081.43,-55.38,10.28,63.3,8.03,787.94
CAMP-0088,Social Media,Retargeting,West,45-54,3376,169,4291.8,12,5160.19,20.23,5.01,25.4,7.1,357.65
CAMP-0089,Social Media,Seasonal Sale,South,35-44,34613,2268,65988.64,229,99070.77,50.13,6.55,29.1,10.1,288.16
CAMP-0090,SMS,Retargeting,South,25-34,25191,1724,11612.75,175,80990.34,597.43,6.84,6.74,10.15,66.36
CAMP-0091,Influencer,Brand Awareness,East,25-34,923,28,1360.68,2,503.39,-63.0,3.03,48.6,7.14,680.34
CAMP-0092,Social Media,Brand Awareness,South,25-34,30124,325,7403.57,36,12067.07,62.99,1.08,22.78,11.08,205.65
CAMP-0093,Influencer,Retargeting,West,55+,44011,4126,287499.14,355,171622.99,-40.3,9.37,69.68,8.6,809.86
CAMP-0094,Google Ads,Lead Generation,East,45-54,43406,978,48101.41,157,46926.78,-2.44,2.25,49.18,16.05,306.38
CAMP-0095,SMS,Seasonal Sale,East,35-44,5809,242,2117.02,35,7207.26,240.44,4.17,8.75,14.46,60.49
CAMP-0096,SMS,Lead Generation,North,18-24,2526,241,1920.06,42,10888.0,467.07,9.54,7.97,17.43,45.72
CAMP-0097,Social Media,Lead Generation,West,25-34,4164,80,2044.37,9,4195.04,105.2,1.92,25.55,11.25,227.15
CAMP-0098,Influencer,Brand Awareness,South,55+,2330,118,5801.91,4,1415.55,-75.6,5.06,49.17,3.39,1450.48
CAMP-0099,Influencer,Seasonal Sale,East,45-54,902,82,5512.12,2,311.08,-94.36,9.09,67.22,2.44,2756.06
CAMP-0100,SMS,Brand Awareness,North,45-54,42977,451,3629.11,62,3926.04,8.18,1.05,8.05,13.75,58.53
CAMP-0101,Influencer,Seasonal Sale,South,45-54,30725,1110,75998.09,63,27342.32,-64.02,3.61,68.47,5.68,1206.32
CAMP-0102,Influencer,Retargeting,West,25-34,29720,1594,87025.71,158,21237.91,-75.6,5.36,54.6,9.91,550.8
CAMP-0103,Influencer,Lead Generation,North,45-54,22767,2249,161860.17,119,27795.29,-82.83,9.88,71.97,5.29,1360.17
CAMP-0104,Influencer,Brand Awareness,East,18-24,28956,3467,224734.91,264,59813.45,-73.38,11.97,64.82,7.61,851.27
CAMP-0105,Google Ads,Lead Generation,West,25-34,17531,879,32706.71,100,5795.1,-82.28,5.01,37.21,11.38,327.07
CAMP-0106,Email,Seasonal Sale,South,35-44,31909,1524,7377.32,319,123894.31,1579.39,4.78,4.84,20.93,23.13
CAMP-0107,Google Ads,Lead Generation,East,55+,17662,633,26494.96,159,45838.73,73.01,3.58,41.86,25.12,166.63
CAMP-0108,SMS,Brand Awareness,West,45-54,29741,2435,17916.79,198,38634.07,115.63,8.19,7.36,8.13,90.49
CAMP-0109,Email,Seasonal Sale,North,25-34,575,41,228.94,7,1730.92,656.06,7.13,5.58,17.07,32.71
CAMP-0110,Social Media,Seasonal Sale,West,35-44,49737,4188,117877.06,560,226472.64,92.13,8.42,28.15,13.37,210.49
CAMP-0111,Google Ads,Retargeting,North,18-24,16312,1334,70963.85,233,57047.17,-19.61,8.18,53.2,17.47,304.57
CAMP-0112,Email,Seasonal Sale,North,18-24,48008,1024,4180.13,100,7948.87,90.16,2.13,4.08,9.77,41.8
CAMP-0113,SMS,Retargeting,South,25-34,39612,618,4175.9,61,4711.51,12.83,1.56,6.76,9.87,68.46
CAMP-0114,Social Media,Lead Generation,West,45-54,10747,464,11108.74,38,1928.4,-82.64,4.32,23.94,8.19,292.34
CAMP-0115,Social Media,Seasonal Sale,North,35-44,8547,563,14015.9,42,10252.08,-26.85,6.59,24.9,7.46,333.71
CAMP-0116,Email,Lead Generation,East,45-54,42139,1628,7562.03,159,42284.23,459.17,3.86,4.64,9.77,47.56
CAMP-0117,SMS,Brand Awareness,East,25-34,37325,4193,27486.88,460,170292.51,519.54,11.23,6.56,10.97,59.75
CAMP-0118,Social Media,Retargeting,North,18-24,2845,71,2072.36,2,269.49,-87.0,2.5,29.19,2.82,1036.18
CAMP-0119,SMS,Brand Awareness,North,18-24,35460,1297,10663.26,164,70888.33,564.79,3.66,8.22,12.64,65.02
CAMP-0120,Influencer,Lead Generation,South,18-24,42741,3338,173261.71,301,130926.33,-24.43,7.81,51.91,9.02,575.62
CAMP-0121,Social Media,Seasonal Sale,South,25-34,28068,2143,63961.04,166,69043.0,7.95,7.64,29.85,7.75,385.31
CAMP-0122,Google Ads,Retargeting,North,25-34,40061,3047,121558.24,474,91451.68,-24.77,7.61,39.89,15.56,256.45
CAMP-0123,SMS,Brand Awareness,North,55+,36926,446,3090.58,64,23593.03,663.39,1.21,6.93,14.35,48.29
CAMP-0124,Social Media,Seasonal Sale,South,45-54,16199,1747,45314.22,92,10549.95,-76.72,10.78,25.94,5.27,492.55
CAMP-0125,Influencer,Brand Awareness,East,18-24,39820,4742,228072.1,148,73539.43,-67.76,11.91,48.1,3.12,1541.03
CAMP-0126,Google Ads,Lead Generation,East,35-44,6782,737,38211.13,132,43534.45,13.93,10.87,51.85,17.91,289.48
CAMP-0127,Email,Brand Awareness,South,45-54,22635,960,5114.15,182,10587.35,107.02,4.24,5.33,18.96,28.1
CAMP-0128,Google Ads,Brand Awareness,North,35-44,11948,1268,51437.64,246,73576.97,43.04,10.61,40.57,19.4,209.1
CAMP-0129,Google Ads,Retargeting,South,45-54,26866,1944,96522.71,518,123632.39,28.09,7.24,49.65,26.65,186.34
CAMP-0130,Influencer,Seasonal Sale,West,35-44,1117,108,6532.44,6,553.99,-91.52,9.67,60.49,5.56,1088.74
CAMP-0131,Influencer,Lead Generation,West,45-54,8420,222,15779.14,9,1258.15,-92.03,2.64,71.08,4.05,1753.24
CAMP-0132,Influencer,Seasonal Sale,West,55+,45672,1522,90216.89,132,58774.92,-34.85,3.33,59.28,8.67,683.46
CAMP-0133,Influencer,Retargeting,South,35-44,4894,442,29521.64,32,3106.46,-89.48,9.03,66.79,7.24,922.55
CAMP-0134,Influencer,Retargeting,West,55+,43345,4238,213581.21,194,74616.31,-65.06,9.78,50.4,4.58,1100.93
CAMP-0135,Google Ads,Seasonal Sale,North,25-34,49407,4403,228851.56,669,129524.84,-43.4,8.91,51.98,15.19,342.08
CAMP-0136,Social Media,Retargeting,South,45-54,29258,1609,41862.56,220,57296.39,36.87,5.5,26.02,13.67,190.28
CAMP-0137,Email,Lead Generation,North,25-34,18452,450,1946.58,75,15207.37,681.24,2.44,4.33,16.67,25.95
CAMP-0138,Social Media,Retargeting,North,55+,12558,262,7214.18,34,5955.13,-17.45,2.09,27.54,12.98,212.18
CAMP-0139,Google Ads,Brand Awareness,North,55+,24203,1489,60557.51,124,33067.22,-45.4,6.15,40.67,8.33,488.37
CAMP-0140,Google Ads,Brand Awareness,North,55+,32799,2115,80354.05,262,47853.85,-40.45,6.45,37.99,12.39,306.69
CAMP-0141,Social Media,Seasonal Sale,West,25-34,38747,4583,136681.87,637,52437.82,-61.64,11.83,29.82,13.9,214.57
CAMP-0142,SMS,Seasonal Sale,South,18-24,15571,1102,7394.78,176,57647.09,679.56,7.08,6.71,15.97,42.02
CAMP-0143,Google Ads,Brand Awareness,East,35-44,4549,125,6416.85,23,8758.59,36.49,2.75,51.33,18.4,278.99
CAMP-0144,Social Media,Seasonal Sale,East,25-34,18877,1029,28400.55,123,17597.13,-38.04,5.45,27.6,11.95,230.9
CAMP-0145,Influencer,Brand Awareness,West,35-44,12028,253,13750.29,24,3138.51,-77.17,2.1,54.35,9.49,572.93
CAMP-0146,SMS,Brand Awareness,East,35-44,22768,841,7293.81,135,59880.44,720.98,3.69,8.67,16.05,54.03
CAMP-0147,Influencer,Retargeting,South,35-44,36137,1334,69194.71,137,61594.51,-10.98,3.69,51.87,10.27,505.07
CAMP-0148,Social Media,Lead Generation,North,45-54,26124,1671,42272.05,160,39288.54,-7.06,6.4,25.3,9.58,264.2
CAMP-0149,Social Media,Brand Awareness,North,25-34,9533,600,17719.23,34,10182.57,-42.53,6.29,29.53,5.67,521.15
CAMP-0150,SMS,Brand Awareness,West,25-34,13032,173,1173.05,29,5646.01,381.31,1.33,6.78,16.76,40.45
CAMP-0151,SMS,Lead Generation,East,18-24,48561,3326,23279.22,593,248015.45,965.39,6.85,7.0,17.83,39.26
CAMP-0152,Google Ads,Lead Generation,West,45-54,23703,635,33383.21,89,6456.77,-80.66,2.68,52.57,14.02,375.09
CAMP-0153,SMS,Seasonal Sale,South,18-24,33049,3060,27355.28,237,110371.49,303.47,9.26,8.94,7.75,115.42
CAMP-0154,Influencer,Lead Generation,East,35-44,32131,329,23635.64,17,1324.78,-94.39,1.02,71.84,5.17,1390.33
CAMP-0155,Social Media,Brand Awareness,South,45-54,21985,1748,41828.37,237,45888.04,9.71,7.95,23.93,13.56,176.49
CAMP-0156,Email,Retargeting,South,45-54,23324,1926,10014.03,257,122724.57,1125.53,8.26,5.2,13.34,38.97
CAMP-0157,Google Ads,Brand Awareness,South,35-44,4989,514,18876.43,83,37484.42,98.58,10.3,36.72,16.15,227.43
CAMP-0158,Influencer,Lead Generation,East,45-54,49594,3394,216672.61,181,86226.77,-60.2,6.84,63.84,5.33,1197.09
CAMP-0159,Influencer,Retargeting,South,45-54,20013,1436,93734.59,100,45818.88,-51.12,7.18,65.27,6.96,937.35
CAMP-0160,Google Ads,Brand Awareness,South,35-44,32530,1550,67187.57,249,26546.68,-60.49,4.76,43.35,16.06,269.83
CAMP-0161,SMS,Retargeting,North,25-34,6999,580,3748.69,53,7367.76,96.54,8.29,6.46,9.14,70.73
CAMP-0162,Influencer,Seasonal Sale,North,45-54,43101,1600,102445.41,64,11124.39,-89.14,3.71,64.03,4.0,1600.71
CAMP-0163,Influencer,Lead Generation,North,25-34,14414,1587,83889.67,114,41681.36,-50.31,11.01,52.86,7.18,735.87
CAMP-0164,Influencer,Retargeting,West,55+,30697,1168,73597.4,64,31312.5,-57.45,3.8,63.01,5.48,1149.96
CAMP-0165,Google Ads,Retargeting,South,35-44,27451,1482,76696.37,287,71685.22,-6.53,5.4,51.75,19.37,267.23
CAMP-0166,Email,Seasonal Sale,North,55+,42772,1943,9888.12,265,88640.15,796.43,4.54,5.09,13.64,37.31
CAMP-0167,SMS,Brand Awareness,South,55+,20439,2281,20753.98,404,155639.46,649.93,11.16,9.1,17.71,51.37
CAMP-0168,SMS,Brand Awareness,West,45-54,38248,2404,18897.0,195,66332.88,251.02,6.29,7.86,8.11,96.91
CAMP-0169,Influencer,Lead Generation,South,25-34,23357,1286,68482.79,120,52470.78,-23.38,5.51,53.25,9.33,570.69
CAMP-0170,Google Ads,Lead Generation,East,18-24,871,40,2014.21,9,1010.23,-49.84,4.59,50.36,22.5,223.8
CAMP-0171,Influencer,Brand Awareness,West,45-54,6209,744,39150.9,31,7448.06,-80.98,11.98,52.62,4.17,1262.93
CAMP-0172,Social Media,Seasonal Sale,South,45-54,46678,5502,113871.63,299,121343.79,6.56,11.79,20.7,5.43,380.84
CAMP-0173,Social Media,Seasonal Sale,South,35-44,11568,258,7307.93,15,3608.59,-50.62,2.23,28.33,5.81,487.2
CAMP-0174,Influencer,Brand Awareness,East,35-44,25287,2161,137578.94,232,115939.65,-15.73,8.55,63.66,10.74,593.01
CAMP-0175,Email,Brand Awareness,East,18-24,34328,4031,18690.35,531,128050.45,585.12,11.74,4.64,13.17,35.2
CAMP-0176,Influencer,Lead Generation,North,18-24,33777,1650,110383.57,156,65450.4,-40.71,4.88,66.9,9.45,707.59
CAMP-0177,SMS,Lead Generation,South,25-34,12143,1191,9494.68,197,22607.51,138.11,9.81,7.97,16.54,48.2
CAMP-0178,Influencer,Seasonal Sale,East,55+,5256,141,8574.51,4,295.05,-96.56,2.68,60.81,2.84,2143.63
CAMP-0179,Social Media,Lead Generation,North,18-24,42610,589,15621.8,73,9168.83,-41.31,1.38,26.52,12.39,214.0
CAMP-0180,Influencer,Brand Awareness,North,18-24,43109,4334,264090.57,406,37246.54,-85.9,10.05,60.93,9.37,650.47
CAMP-0181,Google Ads,Retargeting,South,35-44,29583,2744,123686.39,607,157277.24,27.16,9.28,45.08,22.12,203.77
CAMP-0182,Social Media,Lead Generation,South,25-34,11349,373,10263.06,19,1685.15,-83.58,3.29,27.51,5.09,540.16
CAMP-0183,Social Media,Brand Awareness,North,18-24,2674,143,4276.26,7,2408.65,-43.67,5.35,29.9,4.9,610.89
CAMP-0184,SMS,Seasonal Sale,North,35-44,19949,2119,20176.92,346,47241.22,134.13,10.62,9.52,16.33,58.31
CAMP-0185,Influencer,Retargeting,North,35-44,47355,4300,264854.61,313,132350.83,-50.03,9.08,61.59,7.28,846.18
CAMP-0186,Social Media,Lead Generation,South,45-54,1815,28,728.44,2,334.17,-54.13,1.54,26.02,7.14,364.22
CAMP-0187,Social Media,Seasonal Sale,South,25-34,5638,404,9636.89,27,7691.31,-20.19,7.17,23.85,6.68,356.92
CAMP-0188,SMS,Lead Generation,North,25-34,28422,2399,15860.88,120,17462.97,10.1,8.44,6.61,5.0,132.17
CAMP-0189,Google Ads,Retargeting,West,45-54,39019,4211,187217.72,706,332521.68,77.61,10.79,44.46,16.77,265.18
CAMP-0190,Email,Lead Generation,South,18-24,11151,830,3644.51,137,20048.79,450.11,7.44,4.39,16.51,26.6
CAMP-0191,SMS,Brand Awareness,North,35-44,5680,166,1133.95,26,5048.65,345.23,2.92,6.83,15.66,43.61
CAMP-0192,Google Ads,Brand Awareness,South,25-34,3235,159,6481.88,30,4272.77,-34.08,4.91,40.77,18.87,216.06
CAMP-0193,SMS,Seasonal Sale,West,18-24,35121,766,5185.09,99,10383.72,100.26,2.18,6.77,12.92,52.37
CAMP-0194,Email,Seasonal Sale,North,55+,37836,3790,19147.54,816,57021.1,197.8,10.02,5.05,21.53,23.47
CAMP-0195,Social Media,Lead Generation,South,18-24,23685,1739,48799.66,100,49038.54,0.49,7.34,28.06,5.75,488.0
CAMP-0196,SMS,Retargeting,South,35-44,24936,2912,22184.62,296,92689.06,317.81,11.68,7.62,10.16,74.95
CAMP-0197,Google Ads,Lead Generation,North,45-54,11234,239,12330.15,45,9513.12,-22.85,2.13,51.59,18.83,274.0
CAMP-0198,Email,Lead Generation,East,35-44,21860,1741,10191.01,357,80743.19,692.3,7.96,5.85,20.51,28.55
CAMP-0199,Influencer,Lead Generation,South,25-34,48480,2947,188048.31,215,41779.23,-77.78,6.08,63.81,7.3,874.64
CAMP-0200,Google Ads,Brand Awareness,West,25-34,19240,392,15283.74,84,18907.86,23.71,2.04,38.99,21.43,181.95
CAMP-0201,SMS,Retargeting,North,45-54,38029,1457,13179.63,248,79069.23,499.94,3.83,9.05,17.02,53.14
CAMP-0202,Influencer,Seasonal Sale,North,45-54,3102,353,20269.13,36,11179.44,-44.84,11.38,57.42,10.2,563.03
CAMP-0203,SMS,Brand Awareness,North,45-54,46816,3365,21821.7,493,213698.44,879.29,7.19,6.48,14.65,44.26
CAMP-0204,Influencer,Brand Awareness,North,35-44,23554,249,16653.02,13,5790.77,-65.23,1.06,66.88,5.22,1281.0
CAMP-0205,SMS,Retargeting,South,55+,3384,93,825.81,10,2914.2,252.89,2.75,8.88,10.75,82.58
CAMP-0206,Social Media,Brand Awareness,North,55+,48197,5018,109774.23,510,227034.83,106.82,10.41,21.88,10.16,215.24
CAMP-0207,Google Ads,Brand Awareness,South,18-24,19790,1246,57514.2,332,107317.39,86.59,6.3,46.16,26.65,173.24
CAMP-0208,SMS,Seasonal Sale,West,35-44,18814,1052,7131.38,161,68742.59,863.95,5.59,6.78,15.3,44.29
CAMP-0209,Email,Lead Generation,South,45-54,36659,463,2333.94,61,21993.98,842.35,1.26,5.04,13.17,38.26
CAMP-0210,SMS,Retargeting,East,18-24,33582,1727,14472.07,95,24488.84,69.21,5.14,8.38,5.5,152.34
CAMP-0211,SMS,Brand Awareness,East,55+,22643,695,5213.37,43,20480.64,292.85,3.07,7.5,6.19,121.24
CAMP-0212,Email,Brand Awareness,North,35-44,40543,4751,19771.15,768,339558.98,1617.45,11.72,4.16,16.17,25.74
CAMP-0213,SMS,Lead Generation,East,25-34,7120,99,802.96,17,8184.11,919.24,1.39,8.11,17.17,47.23
CAMP-0214,Google Ads,Brand Awareness,East,18-24,35436,1530,79948.32,128,60306.35,-24.57,4.32,52.25,8.37,624.6
CAMP-0215,Influencer,Brand Awareness,West,55+,14492,1475,76313.82,105,48518.94,-36.42,10.18,51.74,7.12,726.8
